Producto;Fecha;Precio AND (€/Kg);Precio MAD (€/Kg);Valor AND (miles €);Valor MAD (miles €);Volumen AND (miles kg);Volumen MAD (miles kg);Precio CLM (€/Kg);Precio CYL (€/Kg);Precio CAT (€/Kg);Valor CLM (miles €);Valor CYL (miles €);Valor CAT (miles €);Volumen CLM (miles kg);Volumen CYL (miles kg);Volumen CAT (miles kg);Poblacion AND;Poblacion MAD;Poblacion CLM;Poblacion CYL;Poblacion CAT
TOMATES;01/2018;1.475;1.686;11031.97;10133.06;7480.283;6008.993;1.568;1.625;1.94;3019.56;2438.197;15094.81;1925.5;1500.626;7779.261;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEBOLLAS;01/2018;0.925;0.957;4361.8;3231.322;4717.413;3376.222;0.99;0.978;1.098;852.487;1038.214;5713.652;860.68;1061.73;5204.713;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AJOS;01/2018;3.977;4.353;2140.817;1461.854;538.351;335.856;3.796;3.94;4.307;376.274;463.279;1737.144;99.13;117.591;403.375;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLES;01/2018;0.98;1.153;1045.784;1351.526;1066.823;1172.283;0.956;1.084;1.044;173.259;415.038;1392.885;181.179;383.006;1333.916;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PEPINOS;01/2018;1.565;1.471;1071.876;915.857;684.985;622.668;1.446;1.489;1.574;376.514;216.271;1040.8;260.422;145.199;661.151;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
JUDIAS VERDES;01/2018;2.186;2.643;2086.55;3005.195;954.388;1137.175;2.981;2.704;3.547;623.97;697.834;6013.326;209.302;258.112;1695.396;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIMIENTOS;01/2018;1.8;1.889;4886.531;4353.594;2714.094;2305.242;1.782;1.794;1.929;1131.276;1394.099;4930.736;634.795;776.894;2556.712;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHAMPIÑONES+O.SETAS;01/2018;3.748;3.588;3405.516;3121.12;908.604;869.952;4.021;3.293;3.466;1116.678;857.841;3700.985;277.741;260.521;1067.805;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LECHUGA/ESC./ENDIVIA;01/2018;2.9;3.05;5624.434;3851.035;1939.778;1262.553;2.662;2.481;2.845;990.765;1772.487;7287.174;372.232;714.311;2561.674;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ESPARRAGOS;01/2018;2.334;4.862;645.451;825.007;276.526;169.7;2.375;3.8;2.129;280.626;514.248;869.512;118.142;135.318;408.443;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
VERDURAS DE HOJA;01/2018;2.48;2.625;1862.736;1873.58;751.102;713.766;2.36;2.641;2.489;438.875;421.749;2391.021;185.97;159.675;960.663;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BERENJENAS;01/2018;1.621;1.732;1462.523;1040.669;902.511;600.852;1.941;1.751;1.818;245.369;258.425;1738.826;126.39;147.565;956.414;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ZANAHORIAS;01/2018;0.776;0.801;1742.417;1611.235;2245.92;2010.404;0.804;0.721;0.917;365.004;552.667;1986.494;453.735;766.192;2165.795;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CALABACINES;01/2018;1.361;1.369;3666.491;3450.989;2693.935;2520.985;1.436;1.351;1.532;1031.368;851.991;3975.873;718.273;630.548;2594.501;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BROCOLI;01/2018;1.397;1.488;1358.957;1172.029;972.914;787.847;1.476;1.403;1.187;246.93;388.948;1833.255;167.268;277.202;1544.371;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALCACHOFAS;01/2018;1.732;2.02;1844.678;1731.863;1064.787;857.403;1.844;1.897;1.981;474.703;315.345;5005.087;257.468;166.206;2527.171;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
APIO;01/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLIFLOR;01/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PUERRO;01/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
NARANJAS;01/2018;0.892;0.887;13498.91;13690.72;15136.02;15436.41;0.833;0.867;1.014;3600.185;5496.277;15872.27;4321.992;6338.918;15654.08;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANDARINAS;01/2018;1.258;1.401;8673.735;10854.19;6895.181;7747.988;1.194;1.252;1.448;2819.606;3402.483;13400.06;2361.539;2718.619;9251.309;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LIMONES;01/2018;1.467;1.551;2132.601;2202.976;1453.238;1420.515;1.54;1.671;1.582;512.16;685.491;2112.968;332.56;410.339;1335.548;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PLATANOS;01/2018;1.374;1.479;11936.72;10441.91;8689.49;7057.738;1.447;1.387;1.552;3332.013;3605.775;13674.93;2302.178;2600.371;8810.295;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANZANAS;01/2018;1.415;1.446;8783.544;8315.785;6206.0;5750.766;1.354;1.328;1.445;2214.019;3331.041;9827.362;1635.163;2507.78;6799.375;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PERAS;01/2018;1.429;1.443;4347.962;4651.667;3042.804;3223.716;1.353;1.355;1.5;1043.05;2022.439;5108.157;771.108;1492.216;3406.332;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELOCOTONES;01/2018;3.136;2.155;10.42;70.856;3.323;32.882;1.4;1.419;2.354;5.05;1.364;49.632;3.607;0.962;21.082;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
