fecha;pais;casos_mes;muertes_mes;incicencia_media_mes
11/2020;Albania;16156;285;231.22047273793103
10/2020;Albania;7116;118;94.70758499129032
9/2020;Albania;4138;104;68.405820189
8/2020;Albania;4183;126;62.594074098709676
7/2020;Albania;2731;96;39.20088701645161
6/2020;Albania;1344;25;16.919208768666667
5/2020;Albania;356;2;5.74630797516129
4/2020;Albania;543;19;8.436896382333334
3/2020;Albania;223;12;1.9897982282608697
11/2020;Andorra;2005;1;1407.9279065172411
10/2020;Andorra;2699;22;1367.7399027806453
9/2020;Andorra;842;0;395.56996644000003
8/2020;Andorra;202;1;99.85233880935485
7/2020;Andorra;67;0;23.502140812903228
6/2020;Andorra;91;1;56.62251512266666
5/2020;Andorra;21;9;23.92560280903226
4/2020;Andorra;373;34;337.065868519
3/2020;Andorra;370;8;108.00868737777779
11/2020;Armenia;44955;801;832.7524276448275
10/2020;Armenia;39912;383;416.6580869967742
9/2020;Armenia;6151;81;83.112217664
8/2020;Armenia;5200;139;94.53092853
7/2020;Armenia;13008;295;226.76952737096775
6/2020;Armenia;16260;312;233.41226780333332
5/2020;Armenia;7216;99;81.63851311580645
4/2020;Armenia;1534;29;20.703954746333334
3/2020;Armenia;532;3;5.835252907727273
2/2020;Armenia;0;0;0.0
11/2020;Austria;172832;1743;877.9232046896552
10/2020;Austria;56836;283;199.19159797741935
9/2020;Austria;17389;63;77.896774668
8/2020;Austria;6209;15;27.07211848645161
7/2020;Austria;3343;15;14.307301097741934
6/2020;Austria;1028;35;4.993918459
5/2020;Austria;1274;88;7.420016656129032
4/2020;Austria;5746;472;51.80964636866667
3/2020;Austria;9611;108;26.05981803483871
2/2020;Austria;7;0;0.00622799551724138
11/2020;Azerbaijan;59851;605;209.77861262068964
10/2020;Azerbaijan;14055;128;41.87918895516129
9/2020;Azerbaijan;3810;59;19.178813950666665
8/2020;Azerbaijan;4749;90;27.73410722709677
7/2020;Azerbaijan;14592;235;69.88233493774194
6/2020;Azerbaijan;11722;145;44.053779768666665
5/2020;Azerbaijan;3480;38;11.64218658483871
4/2020;Azerbaijan;1493;19;6.608465065
3/2020;Azerbaijan;272;4;0.6095910920833333
2/2020;Azerbaijan;1;0;0.00034319
11/2020;Belarus;35825;166;161.1324325103448
10/2020;Belarus;19239;149;73.70778486580645
9/2020;Belarus;6573;152;28.649486778
8/2020;Belarus;4022;123;18.27968899580645
7/2020;Belarus;5875;166;37.07469294741936
6/2020;Belarus;20132;158;114.97280746566666
5/2020;Belarus;28477;145;131.6715033419355
4/2020;Belarus;13076;84;39.78245122566667
3/2020;Belarus;104;0;0.4907881608695652
2/2020;Belarus;1;0;0.0007296075862068966
11/2020;Belgium;131932;4782;992.6409481413793
10/2020;Belgium;320021;1657;843.4396302870967
9/2020;Belgium;36970;125;108.41440997599999
8/2020;Belgium;15816;185;64.35157107774194
7/2020;Belgium;7706;79;18.724880627741936
6/2020;Belgium;2972;278;14.853975625333334
5/2020;Belgium;8978;1576;50.75254767451613
4/2020;Belgium;34655;6609;153.40931592333334
3/2020;Belgium;15301;1170;27.962011572903226
2/2020;Belgium;1;0;0.004214202758620689
1/2020;Belgium;0;0;0.01689564548387097
11/2020;Bosnia_and_Herzegovina;37278;1330;577.6852730724138
10/2020;Bosnia_and_Herzegovina;20931;376;188.03697470387098
9/2020;Bosnia_and_Herzegovina;7433;244;112.68511321366667
8/2020;Bosnia_and_Herzegovina;8345;264;114.96132284516129
